内容,主题概率,主题类型
保质期,"[(0, 0.08334365), (1, 0.08337769), (2, 0.08341914), (3, 0.084556654), (4, 0.5819405), (5, 0.08336236)]",4
新鲜,"[(0, 0.083358794), (1, 0.083341554), (2, 0.582865), (3, 0.08334752), (4, 0.083722174), (5, 0.083364986)]",2
保质期 生产日期,"[(0, 0.05556617), (1, 0.055575795), (2, 0.05589138), (3, 0.72130406), (4, 0.05601518), (5, 0.055647377)]",3
塑料袋 酸奶 酸奶 常温 储存,"[(0, 0.5317109), (1, 0.027834391), (2, 0.027869036), (3, 0.35677323), (4, 0.027872201), (5, 0.027940229)]",0
冰箱 瓶子,"[(0, 0.05674385), (1, 0.056751937), (2, 0.057179216), (3, 0.056913733), (4, 0.71565527), (5, 0.056755997)]",4
京东 品控 阶段 牛奶 保质期 客服 保质期 建议 京东 时效 平台 信任 鲜奶 京东 京东 客服,"[(4, 0.9507324)]",4
恶劣 京东 产品 保质期 客服 电话 保质期 建议 客服 京东 牌子 品质 时效 著称 信任 京东 丑恶 嘴脸,"[(4, 0.95572156)]",4
难吃 难吃 品质 稳定 味道 酸奶,"[(0, 0.023978671), (1, 0.024112072), (2, 0.5036181), (3, 0.2308829), (4, 0.19342469), (5, 0.023983557)]",2
酸奶 生产日期 新鲜 人工 客服 智能 产品 罐子 意义,"[(0, 0.01670494), (1, 0.016729979), (2, 0.23029718), (3, 0.6065309), (4, 0.016828865), (5, 0.11290811)]",3
颜色 难吃 黏糊 颜色 酸奶,"[(0, 0.028396856), (1, 0.02892976), (2, 0.02910317), (3, 0.85674226), (4, 0.02842654), (5, 0.028401397)]",3
保质期 上市,"[(0, 0.055565678), (1, 0.05557527), (2, 0.055620737), (3, 0.055890594), (4, 0.7217767), (5, 0.055571027)]",4
包装盒,"[(0, 0.083358906), (1, 0.08335887), (2, 0.084189564), (3, 0.58184403), (4, 0.08335913), (5, 0.08388949)]",3
垃圾 形态 标签,"[(0, 0.04174209), (1, 0.0417306), (2, 0.041751076), (3, 0.04173505), (4, 0.6001779), (5, 0.23286329)]",4
标签 质量 垃圾,"[(0, 0.041779403), (1, 0.04170294), (2, 0.042902905), (3, 0.041887198), (4, 0.4410994), (5, 0.39062813)]",4
东西 好感,"[(0, 0.057267953), (1, 0.05702726), (2, 0.714187), (3, 0.057387948), (4, 0.057073757), (5, 0.057056073)]",2
冷链 塑料袋,"[(0, 0.40557513), (1, 0.055619627), (2, 0.37089497), (3, 0.05562559), (4, 0.055827), (5, 0.056457706)]",0
影子 客服 客服 东西 冤种 打水漂,"[(0, 0.02425323), (1, 0.024269313), (2, 0.025015991), (3, 0.8770563), (4, 0.024964752), (5, 0.024440438)]",3
